Japanese,Kana,Division0,Division1,Type,Priority
散/\歩,さん/\ぽ,0/0,0\0,名詞,0
邪/\魔,じゃ/\ま,0/0,0\0,名詞,0
春日部/\つむぎ,春日部/\つむぎ,1/-1,0\-1,名詞,0
心,こころ,0,0,名詞,0
怪/\我,け/\が,0/0,0\0,名詞,0
指,ゆび,0,0,名詞,0
生/\き*る,い/\き*る,0/-1*-1,0\-1*-1,上下,0
使*う,つか*う,0*-1,0*-1,五段,0
来る,くる,0,0,カ変,0
草臥/\れ*る,くたび/\れ*る,1/-1*-1,0\-1*-1,上下,0
果/\て*る,は/\て*る,0/-1*-1,0\-1*-1,上下,0
日,ひ,0,0,名詞,0
想/\像,そう/\ぞう,0/0,0\0,名詞,0
絶/\え*る,た/\え*る,0/-1*-1,0\-1*-1,上下,0
高*い,たか*い,0*-1,0*-1,形容,0
体,からだ,0,0,名詞,0
脳/\天,のう/\てん,0/0,0\0,名詞,0
爪/\先,つま/\さき,0/0,0\0,名詞,0
一/\切,いっ/\さい,0/0,0\0,名詞,0
顧/\み*る,かえり/\み*る,0/-1*-1,0\-1*-1,上下,0
頂/\点,頂/\点,0/0,0\0,名詞,0